'time_shown=1700808481.6342673', 'L RGB=(238, 184, 251)', 'R RGB=(208, 220, 228)', 'L lightness=217.5', 'R lightness=218.00000000000003', 'selected_rect=R', 'time_solved=1700808481.8867037', 'spent=0.25243639945983887', 'result=Win', 'delta lightness abs=0.5000000000000284'
'time_shown=1700808481.9238827', 'L RGB=(205, 233, 52)', 'R RGB=(240, 233, 58)', 'L lightness=142.5', 'R lightness=149.0', 'selected_rect=R', 'time_solved=1700808482.1946669', 'spent=0.2707841396331787', 'result=Win', 'delta lightness abs=6.5'
'time_shown=1700808482.2171636', 'L RGB=(146, 252, 204)', 'R RGB=(167, 254, 220)', 'L lightness=199.0', 'R lightness=210.5', 'selected_rect=R', 'time_solved=1700808482.5480146', 'spent=0.33085107803344727', 'result=Win', 'delta lightness abs=11.5'
'time_shown=1700808482.5865107', 'L RGB=(174, 68, 56)', 'R RGB=(199, 71, 71)', 'L lightness=115.0', 'R lightness=135.0', 'selected_rect=R', 'time_solved=1700808482.8099637', 'spent=0.22345304489135742', 'result=Win', 'delta lightness abs=20.0'
'time_shown=1700808482.8386858', 'L RGB=(236, 100, 76)', 'R RGB=(240, 114, 97)', 'L lightness=156.0', 'R lightness=168.5', 'selected_rect=L', 'time_solved=1700808483.1462796', 'spent=0.30759382247924805', 'result=Loss', 'delta lightness abs=12.5'
'time_shown=1700808483.1761067', 'L RGB=(4, 218, 106)', 'R RGB=(7, 245, 115)', 'L lightness=111.0', 'R lightness=126.0', 'selected_rect=L', 'time_solved=1700808483.4422026', 'spent=0.2660958766937256', 'result=Loss', 'delta lightness abs=15.0'
'time_shown=1700808483.4737988', 'L RGB=(232, 78, 248)', 'R RGB=(192, 62, 200)', 'L lightness=163.0', 'R lightness=131.0', 'selected_rect=R', 'time_solved=1700808483.7705748', 'spent=0.29677605628967285', 'result=Loss', 'delta lightness abs=32.0'
'time_shown=1700808483.7916083', 'L RGB=(158, 211, 38)', 'R RGB=(175, 220, 51)', 'L lightness=124.5', 'R lightness=135.5', 'selected_rect=R', 'time_solved=1700808484.0678627', 'spent=0.27625441551208496', 'result=Win', 'delta lightness abs=11.0'
'time_shown=1700808484.0935304', 'L RGB=(236, 224, 167)', 'R RGB=(245, 249, 167)', 'L lightness=201.50000000000003', 'R lightness=208.0', 'selected_rect=L', 'time_solved=1700808487.4235606', 'spent=3.3300302028656006', 'result=Loss', 'delta lightness abs=6.499999999999972'
'time_shown=1700808487.4653528', 'L RGB=(87, 12, 11)', 'R RGB=(147, 22, 12)', 'L lightness=49.0', 'R lightness=79.5', 'selected_rect=R', 'time_solved=1700808487.700505', 'spent=0.2351522445678711', 'result=Win', 'delta lightness abs=30.5'
'time_shown=1700808487.7292037', 'L RGB=(78, 168, 88)', 'R RGB=(71, 113, 80)', 'L lightness=123.0', 'R lightness=92.0', 'selected_rect=L', 'time_solved=1700808488.0088253', 'spent=0.27962160110473633', 'result=Win', 'delta lightness abs=31.0'
'time_shown=1700808488.0394974', 'L RGB=(58, 232, 235)', 'R RGB=(58, 188, 234)', 'L lightness=146.5', 'R lightness=146.0', 'selected_rect=R', 'time_solved=1700808488.290272', 'spent=0.250774621963501', 'result=Loss', 'delta lightness abs=0.5'
'time_shown=1700808488.3291564', 'L RGB=(37, 223, 37)', 'R RGB=(15, 212, 27)', 'L lightness=130.0', 'R lightness=113.50000000000001', 'selected_rect=L', 'time_solved=1700808488.5761628', 'spent=0.24700641632080078', 'result=Win', 'delta lightness abs=16.499999999999986'
'time_shown=1700808488.6090531', 'L RGB=(244, 93, 190)', 'R RGB=(244, 88, 188)', 'L lightness=168.5', 'R lightness=166.0', 'selected_rect=L', 'time_solved=1700808488.882393', 'spent=0.27333974838256836', 'result=Win', 'delta lightness abs=2.5'
'time_shown=1700808488.9131124', 'L RGB=(68, 5, 89)', 'R RGB=(73, 14, 114)', 'L lightness=46.99999999999999', 'R lightness=64.0', 'selected_rect=L', 'time_solved=1700808489.0627215', 'spent=0.14960908889770508', 'result=Loss', 'delta lightness abs=17.000000000000007'
'time_shown=1700808489.0853333', 'L RGB=(195, 6, 172)', 'R RGB=(224, 34, 186)', 'L lightness=100.5', 'R lightness=129.0', 'selected_rect=L', 'time_solved=1700808489.4543593', 'spent=0.36902594566345215', 'result=Loss', 'delta lightness abs=28.5'
'time_shown=1700808489.4934394', 'L RGB=(61, 15, 71)', 'R RGB=(66, 21, 83)', 'L lightness=43.0', 'R lightness=52.0', 'selected_rect=L', 'time_solved=1700808489.6186037', 'spent=0.12516427040100098', 'result=Loss', 'delta lightness abs=9.0'
'time_shown=1700808489.65022', 'L RGB=(103, 95, 219)', 'R RGB=(109, 109, 229)', 'L lightness=157.0', 'R lightness=169.0', 'selected_rect=L', 'time_solved=1700808489.9129634', 'spent=0.2627434730529785', 'result=Loss', 'delta lightness abs=12.0'
'time_shown=1700808489.9500072', 'L RGB=(140, 211, 40)', 'R RGB=(167, 233, 52)', 'L lightness=125.5', 'R lightness=142.5', 'selected_rect=L', 'time_solved=1700808490.1780145', 'spent=0.22800731658935547', 'result=Loss', 'delta lightness abs=17.0'
'time_shown=1700808490.2052977', 'L RGB=(34, 60, 18)', 'R RGB=(49, 61, 23)', 'L lightness=39.0', 'R lightness=42.0', 'selected_rect=L', 'time_solved=1700808490.4475052', 'spent=0.24220752716064453', 'result=Loss', 'delta lightness abs=3.0'
'time_shown=1700808490.4780798', 'L RGB=(177, 88, 139)', 'R RGB=(169, 75, 104)', 'L lightness=132.49999999999997', 'R lightness=121.99999999999999', 'selected_rect=L', 'time_solved=1700808490.670505', 'spent=0.19242525100708008', 'result=Win', 'delta lightness abs=10.499999999999986'
'time_shown=1700808598.2182848', 'L RGB=(234, 211, 3)', 'R RGB=(198, 164, 11)', 'L lightness=118.49999999999999', 'R lightness=104.5', 'selected_rect=L', 'time_solved=1700808599.898603', 'spent=1.6803181171417236', 'result=Win', 'delta lightness abs=13.999999999999986'
'time_shown=1700808599.9196205', 'L RGB=(113, 141, 134)', 'R RGB=(114, 147, 137)', 'L lightness=127.0', 'R lightness=130.5', 'selected_rect=L', 'time_solved=1700808600.3978484', 'spent=0.4782278537750244', 'result=Loss', 'delta lightness abs=3.5'
'time_shown=1700808600.429186', 'L RGB=(156, 91, 179)', 'R RGB=(129, 56, 178)', 'L lightness=135.0', 'R lightness=117.0', 'selected_rect=L', 'time_solved=1700808644.225543', 'spent=43.79635691642761', 'result=Win', 'delta lightness abs=18.0'
'time_shown=1700808644.239587', 'L RGB=(241, 169, 168)', 'R RGB=(254, 165, 163)', 'L lightness=204.5', 'R lightness=208.5', 'selected_rect=R', 'time_solved=1700808646.6985738', 'spent=2.458986759185791', 'result=Win', 'delta lightness abs=4.0'
'time_shown=1700808646.7271826', 'L RGB=(27, 92, 21)', 'R RGB=(37, 104, 33)', 'L lightness=56.5', 'R lightness=68.5', 'selected_rect=R', 'time_solved=1700808648.1514196', 'spent=1.4242370128631592', 'result=Win', 'delta lightness abs=12.0'
'time_shown=1700808648.186961', 'L RGB=(209, 117, 171)', 'R RGB=(221, 139, 171)', 'L lightness=163.0', 'R lightness=179.99999999999997', 'selected_rect=R', 'time_solved=1700808649.4925652', 'spent=1.3056042194366455', 'result=Win', 'delta lightness abs=16.99999999999997'
'time_shown=1700808649.518645', 'L RGB=(9, 216, 208)', 'R RGB=(10, 236, 209)', 'L lightness=112.5', 'R lightness=123.0', 'selected_rect=R', 'time_solved=1700808650.9863427', 'spent=1.4676976203918457', 'result=Win', 'delta lightness abs=10.5'
